Monthly Rent,Location,Bedrooms,Bathrooms,Receptions,Description,Nearest Station,Distance (miles),Long Description,Available,Link
2167.0,"14 Stable Walk, London E1",,1.0,1.0,Studio ,Aldgate East,0.2 ,"Beautifully presented one bedroom studio in the phase Neroli House features a spacious living room with an open kitchen, with spacious double bedroom, built-in wardrobe and a large luxurious bathroom. Situated just 3 minutes' walk away from Aldgate East.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147079
2578.0,"Exchange Gardens, London SW8",2.0,2.0,2.0,2 bed flat ,Vauxhall,0.2 ,The apartment is located on the fourth floor with lift and offers 860 sq ft of living space. The property benefits from an open plan kitchen / reception room..,Available immediately,https://www.zoopla.co.uk/to-rent/details/56147140
1290.0,"Commercial Street, London E1",1.0,1.0,1.0,1 bed flat ,Shoreditch High Street,0.2 ,"City Realtor is proud to present this cozy one bedroom flat situated in an iconic location of Commercial Street. The property is naturally bright and airy. The building and apartment having been newly refurbished, with its good ceiling height, solid ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147129
1250.0,"Commercial Street, London E1",,1.0,1.0,Studio ,Shoreditch High Street,0.2 ,"City Realtor is proud to present this cozy Studio flat situated in an iconic location of Commercial Street. The property is naturally bright and airy. The building and apartment having been newly refurbished, with its good ceiling height, solid ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147119
5633.0,"St. George Wharf, London SW8",2.0,2.0,1.0,2 bed flat ,Vauxhall,0.2 ,"Furnished two-bedroom apartment situated above the 20th floor of this luxurious riverside development in SW8, overlooking The Thames and the entire London skyline...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147125
3250.0,"Lincoln Square, London WC2A",,1.0,1.0,Studio ,Temple,0.2 ,***Available Now*** This luxury studio apartment offering a generous living space & en-suite. You will enjoy a south aspect from the floor-to-ceiling glazing across the vast landscaped courtyard. Westminster parking permits are also available to ...,Available immediately,https://www.zoopla.co.uk/to-rent/details/56147112
2167.0,"Meranti House, 84 Alie Street, London E1",,1.0,1.0,Studio ,Aldgate East,0.1 ,"Stunning Studio apartment, in the vibrant area of is a stylish and comfortable place to stay. You're just a 4 minute walk away from Aldgate East station. The location is fantastic; you are just a 10 minute walk from brick Lane!",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147105
4767.0,"Flat, Perilla House, Stable Walk, London E1",3.0,3.0,1.0,3 bed flat ,Aldgate East,0.2 ,"Brand new three bedroom apartment with three bathrooms (two ensuites) in a prestigious development next to The City. 24 hrs concierge, gym, swimming pool and private cinema included in your rent!",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147064
2015.0,"14 Stable Walk, London E1",,1.0,1.0,Studio ,Aldgate East,0.2 ,"| virtual tour available | Brand New | A super spacious Studio with balcony situated at the heart of London, the apartment is just 3 minutes' walk away from Aldgate East Underground station on the Circle and District lines.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146990
2275.0,"Bramah House, 9 Gatliff Road, London SW1W",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.5 ,A 1 double bedroom apartment of approx. 508sq.ft (47.19sq.m) in Bramah House in the popular Grosvenor Waterside development located on the banks of the River Thames by Chelsea Bridge. This bright property further features an open plan reception room ...,Available from 23rd Oct 2020,https://www.zoopla.co.uk/to-rent/details/56147016
1452.0,"Amwell Street, London EC1R",1.0,,,1 bed flat ,Angel,0.3 ,"This very bright property offers an open plan kitchen with a fully fitted high white gloss kitchen with dishwasher, the bathroom if fully tiled with heated towel rack, a double bedroom with built in wardrobes over looking the communal gardens. The ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56147002
